id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1433500754950623245,1433500754950623245,2021-09-02 14:43:07 EDT,2021-09-02,14:43:07,-0400,3537145515,haluklevent,Haluk Levent,,Covid olduğumdan dolayı “Rus Kılızordu ile Cumhuriyet Marşları” provasına gidememiştim. Prova bensiz yapıldı şimdilik. Geçmiş olsun dileklerini yollamışlar. Birisini sizinle paylaşmak istedim 😊  https://t.co/ab6QmgMGev,tr,[],[],[],27,31,820,[],[],https://twitter.com/haluklevent/status/1433500754950623245,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1433493990142316547/pu/img/OiO3RINnydUx4LFf.jpg,,,,,,,[],,,,
1433500609030860806,1433500609030860806,2021-09-02 14:42:33 EDT,2021-09-02,14:42:33,-0400,35631695,pabloagustin,Pablo Agustín,,Otra variante de covid?  https://t.co/WbaIEB8QvZ,es,[],[],['https://pbs.twimg.com/media/E-TRH5JWEAA3Afp.jpg'],12,23,206,[],[],https://twitter.com/PabloAgustin/status/1433500609030860806,False,,1,https://pbs.twimg.com/media/E-TRH5JWEAA3Afp.jpg,,,,,,,[],,,,
1433500436892246016,1433500436892246016,2021-09-02 14:41:51 EDT,2021-09-02,14:41:51,-0400,130496027,jonfavs,Jon Favreau,,GOP Platform for ‘22:  1) Bounties on abortions 2) Harass and disenfranchise Dem voters 3) Fire educators who teach kids about racism 4) Prevent schools from stopping Covid spread 5) Threaten businesses that comply with a domestic terrorism investigation  (That’s just this week!),en,[],[],[],47,184,648,[],[],https://twitter.com/jonfavs/status/1433500436892246016,False,,0,,,,,,,,[],,,,
1433498046331949076,1433498046331949076,2021-09-02 14:32:22 EDT,2021-09-02,14:32:22,-0400,246621297,georgegammon,George Gammon,,🔥 Question for those who “follow the science.”  Please show me the “science” that suggests governments should make it illegal for businesses to serve unvaxed people who have had Covid?,en,[],[],[],17,24,133,[],[],https://twitter.com/GeorgeGammon/status/1433498046331949076,False,,0,,,,,,,,[],,,,
1433498045509943298,1433498045509943298,2021-09-02 14:32:21 EDT,2021-09-02,14:32:21,-0400,16129920,maddow,Rachel Maddow MSNBC,,"""American Medical Association calls for 'immediate end' to use of ivermectin for COVID-19""  Statement here from the AMA, Am. Pharmacists Assn, Am Society of Health-System Pharmacists:   https://t.co/EMnjeVpRfA  Write-up here from The Hill:   https://t.co/t8QN8OhSwQ",en,[],"['https://www.ama-assn.org/press-center/press-releases/ama-apha-ashp-statement-ending-use-ivermectin-treat-covid-19', 'https://thehill.com/policy/healthcare/570519-american-medical-association-calls-for-immediate-end-to-use-of-ivermectin']",[],78,247,581,[],[],https://twitter.com/maddow/status/1433498045509943298,False,,0,,,,,,,,[],,,,
1433497672871120897,1433497672871120897,2021-09-02 14:30:52 EDT,2021-09-02,14:30:52,-0400,37491797,stkirsch,Steve Kirsch,,Wow. Stunning. Ivermectin was shown effective against COVID in two systematic reviews which is the highest level of evidence based medicine. So EVIDENCE-BASED MEDICINE DOES NOT WORK anymore per FDA.  https://t.co/C1TtxyIglK,en,[],[],['https://pbs.twimg.com/media/E-TOamVVEAYII3v.png'],15,93,206,[],[],https://twitter.com/stkirsch/status/1433497672871120897,False,,1,https://pbs.twimg.com/media/E-TOamVVEAYII3v.png,,,,,,,[],,,,
1433497453970563078,1433497453970563078,2021-09-02 14:30:00 EDT,2021-09-02,14:30:00,-0400,613542402,werderedespn,Ed Werder,,Two relatives tested positive for Covid. They were not vaccinated and are very ill. Both have been to the ER and one has developed pneumonia. They now wish they had taken shot. I ask not for your sympathy. I’m only sharing so more people can make informed health decisions.,en,[],[],[],22,55,275,[],[],https://twitter.com/WerderEdESPN/status/1433497453970563078,False,,0,,,,,,,,[],,,,
1433496887441625090,1433496887441625090,2021-09-02 14:27:45 EDT,2021-09-02,14:27:45,-0400,574857684,oldmanebro,Ebro,,"Mask wearing, CoViD &amp; Vaxx should not be considered political….",en,[],[],[],12,23,146,[],[],https://twitter.com/oldmanebro/status/1433496887441625090,False,,0,,,,,,,,[],,,,
1433496332350763015,1433496332350763015,2021-09-02 14:25:33 EDT,2021-09-02,14:25:33,-0400,381174013,cbcscott,Scott Dippel,,"Mayor Nenshi says he's ""lost any faith in the ability of the province to do anything"" to stem the rising number of COVID-19 cases in Alberta so the City has to act to protect Calgarians. #yyccc will discuss possible actions tomorrow afternoon.",en,[],[],[],8,49,186,['yyccc'],[],https://twitter.com/CBCScott/status/1433496332350763015,False,,0,,,,,,,,[],,,,
1433496044835201025,1433496044835201025,2021-09-02 14:24:24 EDT,2021-09-02,14:24:24,-0400,193929442,mollymcnearney,Molly McNearney,,Just because women are great multitaskers doesn’t mean we should have to FIGHT TOOTH &amp; NAIL TO GET OUR REPRODUCTIVE RIGHTS BACK WHILE HELPING OUR SISTERS IN KABUL ESCAPE THE TALIBAN &amp; KEEP COVID AND GUNS OUT OF OUR CHILDREN’S SCHOOLS AS THE CLIMATE CRISIS RAVAGES EARTH!,en,[],[],[],7,24,185,[],[],https://twitter.com/mollymcnearney/status/1433496044835201025,False,,0,,,,,,,,[],,,,
